code,type,name,units,term 1,term 2,term 3,prereq 1,prereq 2,prereq 3,prereq 4,prereq 5,concurrent ok,special prereq,options,,,,,,,,,,,,,,,,,,
BUS207,course,Managerial Economics,3,Fall,Spring,Summer,ECON103,ECON105,MATH151,,,,,ECON201,,,,,,,,,,,,,,,,,,
BUS232,course,Business Statistics,3,Fall,Spring,Summer,MATH151,,,,,,15 units,,,,,,,,,,,,,,,,,,,
BUS251,course,Financial Accounting I,3,Fall,Spring,Summer,,,,,,,12 units,,,,,,,,,,,,,,,,,,,
BUS254,course,Managerial Accounting I,3,Fall,Spring,Summer,BUS251,,,,,,15 units,,,,,,,,,,,,,,,,,,,
BUS272,course,Behaviour in Organizations,3,Fall,Spring,Summer,,,,,,,12 units,,,,,,,,,,,,,,,,,,,
BUS312,course,Introduction to Finance,3,Fall,Spring,Summer,BUS254,,,,,,45 units,,,,,,,,,,,,,,,,,,,
BUS343,course,Introduction to Marketing,3,Fall,Spring,Summer,,,,,,,45 units,,,,,,,,,,,,,,,,,,,
BUS360W,course,Business Communication,4,Fall,Spring,Summer,,,,,,,45 units,,,,,,,,,,,,,,,,,,,
BUS381,course,Introduction to Human Resource Management,3,Fall,Spring,Summer,BUS272,,,,,,45 units,,,,,,,,,,,,,,,,,,,
BUS393,course,Commercial Law,3,Fall,Spring,Summer,,,,,,,45 units,,,,,,,,,,,,,,,,,,,
BUS478,course,Strategy,3,Fall,Spring,Summer,BUS207,BUS312,BUS343,BUS360W,BUS381,,90 units,,,,,,,,,,,,,,,,,,,
BUS3XX,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS3XX2,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS3XX3,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS4XX,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS4XX2,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS4XX3,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS4XX4,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS4XX5,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS4XX6,business elective,,0,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM120,course,General Chemistry I,3,Fall,Spring,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPT130,course,Introduction to Computer Programming I,3,Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
